Date,DiffOpenClose
20200609,-9.71
20200610,-1.12
20200611,18.33
20200612,-129.23
20200615,6.34
20200616,74.41
20200617,13.86
20200618,-0.39
20200619,8.94
20200622,4.05
20200623,45.49
20200624,35.5
20200629,-51.87
20200630,20.98
20200701,1.4
20200702,-9.32
20200703,52.76
20200706,32.68
20200707,60.09
20200708,-6.84
20200709,52.71
20200710,57.75
20200713,35.93
20200714,-8.67
20200715,24.98
20200716,-29.81
20200717,37.98
20200720,23.69
20200721,67.78
20200722,-7.79
20200723,-50.25
20200724,54.39
20200727,314.65
20200728,363.42
20200729,-55.99
20200730,150.89
20200731,-69.46
20200803,-22.07
20200804,64.85
20200805,52.42
20200806,91.94
20200807,-12.07
20200810,-42.07
20200811,-37.54
20200812,-66.56
20200813,88.52
20200814,-53.16
20200817,18.48
20200818,18.85
20200819,32.7
20200820,-13.89
20200821,99.88
20200824,21.94
20200825,59.27
20200826,10.71
20200827,55.36
20200828,-38.01
20200831,34.59
20200901,25.94
20200902,69.15
20200903,75.47
20200904,-112.05
20200907,7.98
20200908,36.02
20200909,-71.38
20200910,57.16
20200911,5.71
20200914,4.46
20200915,-0.4
20200916,144.16
20200917,-56.61
20200918,-14.14
20200921,-1.01
20200922,-8.21
20200923,10.79
20200924,-96.4
20200925,48.56
20200928,49.45
20200929,25.34
20200930,15.92
20201005,52.27
20201006,95.81
20201007,-36.72
20201008,86.17
20201012,71.96
20201013,32.53
20201014,-20.04
20201015,-27.02
20201016,-13.66
20201019,52.95
20201020,-18.35
20201021,27.51
20201022,-22.28
20201023,28.09
20201026,24.73
20201027,-41.26
20201028,-21.25
20201029,-106.11
20201030,-11.56
20201102,18.98
20201103,49.97
20201104,30.85
20201105,10.11
20201106,33.69
20201109,80.45
20201110,-36.82
20201111,-14.68
20201112,62.67
20201113,0.02
20201116,83.41
20201117,171.94
20201118,35.41
20201119,1.97
20201120,-19.84
20201123,77.11
20201124,40.83
20201125,53.82
20201126,24.96
20201127,-12.45
20201130,50.56
20201201,87.66
20201202,84.84
20201203,-0.65
20201204,33.08
20201207,97.56
20201208,-4.66
20201209,-23.71
20201210,-94.99
20201211,49.1
20201214,-22.77
20201215,-4.72
20201216,76.72
20201217,21.7
20201218,9.2
20201221,23.83
20201222,-36.85
20201223,3.24
20201224,33.2
20201225,26.7
20201228,32.03
20201229,17.84
20201230,13.92
20201231,16.83
20210104,-12.28
20210105,11.61
20210106,145.82
20210107,76.39
20210108,151.13
20210111,-38.37
20210112,-7.77
20210113,49.46
20210114,-118.78
20210115,279.97
20210118,60.06
20210119,104.64
20210120,57.48
20210121,-30.45
20210122,-168.88
20210125,-12.82
20210126,8.62
20210127,52.91
20210128,-181.6
20210129,128.48
20210201,38.25
20210202,136.6
20210203,68.59
20210204,-73.57
20210205,99.54
20210217,395.05
20210218,3.94
20210219,-47.6
20210222,104.49
20210223,-89.28
20210224,-113.86
20210225,164.27
20210226,-262.14
20210302,174.07
20210303,45.44
20210304,-119.98
20210305,-146.83
20210308,88.14
20210309,-105.04
20210310,68.36
20210311,35.54
20210312,61.99
20210315,1.4
20210316,4.6
20210317,-0.18
20210318,48.79
20210319,-101.38
20210322,-4.74
20210323,60.98
20210324,-182.63
20210325,-21.58
20210326,80.23
20210329,105.79
20210330,14.34
20210331,-25.67
20210401,107.15
20210406,140.51
20210407,31.48
20210408,-28.8
20210409,47.84
20210412,54.45
20210413,12.7
20210414,44.87
20210415,-14.91
20210416,-48.38
20210419,-17.56
20210420,-31.7
20210421,-41.11
20210422,100.62
20210423,20.52
20210426,78.09
20210427,13.73
20210428,14.82
20210429,79.4
20210503,-61.14
20210504,27.21
20210505,34.97
20210506,82.08
20210507,37.87
20210510,-10.77
20210511,-98.42
20210512,-67.25
20210513,-234.04
20210514,149.14
20210517,-272.1
20210518,211.07
20210519,-33.77
20210520,-10.14
20210521,94.5
20210524,-55.54
20210525,106.46
20210526,49.5
20210527,-51.99
20210528,88.43
20210531,77.61
20210601,30.06
20210602,30.53
20210603,36.26
20210604,-21.1
20210607,28.68
20210608,10.43
20210609,6.31
20210610,58.32
20210611,41.23
20210615,66.18
20210616,-13.92
20210617,-53.02
20210618,-5.87
20210621,-13.05
20210622,99.73
20210623,52.04
20210624,21.86
20210625,63.11
20210628,28.83
20210629,30.18
20210630,50.06
20210701,45.73
20210702,31.75
20210705,73.65
20210706,9.89
20210707,-11.82
20210708,30.21
20210709,-87.97
20210712,181.82
20210713,117.14
20210714,44.99
20210715,33.03
20210716,-194.61
20210719,-40.9
20210720,-64.33
20210721,64.86
20210722,24.02
20210723,31.62
20210726,-17.99
20210727,-8.79
20210728,-17.0
20210729,81.36
20210730,11.96
20210802,9.2
20210803,-14.16
20210804,34.88
20210805,0.93
20210805,21.7
20210806,-9.27
20210809,-21.27
20210810,7.3
20210811,-15.02
20210812,-5.83
20210813,-3.6
20210816,-40.78
20210817,-17.15
20210818,-30.37
20210819,-48.49
20210820,51.58
20210823,117.19
20210825,79.24
20210826,131.53
20210827,-5.86
20210830,34.69
20210831,-11.91
20210901,-26.49
20210902,-18.07
